simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
4004,7597.4885231532335,7414.573948138651,182.9145750145693,36847.35784845203,16503.658288108316,0.34591926852560784,12746.211093525055
4005,9924.129861294708,9162.419065419346,761.710795875364,24983.20748896594,8534.281034072439,0.26116729092786567,6524.796627413227
4006,5890.821217077824,5575.717537219667,315.1036798581547,22917.558768967276,9886.013618149842,0.3115830978614721,7140.723967029842
4007,11418.328434312958,11266.98858386041,151.339850452545,56114.17471963153,16927.8213008546,0.49484867556759254,27768.02509554784
4008,2452.6783930533575,1753.3990491306267,699.2793439227293,10747.611894464968,5817.647998614907,0.2304963686695944,2477.2855167636435
4009,4789.188388357215,4575.740427279336,213.44796107787727,18552.26077976456,5507.670637909385,0.4449809039475451,8255.4017869243
4010,19008.103140078543,18857.543494708083,150.5596453704536,65634.91518874936,18387.41894753983,0.43024955674211773,28239.393216330376
4011,18890.086640357356,18461.007401623756,429.07923873359744,25100.518204399606,2916.5435703454937,0.13122788908078886,3293.8880225887
4012,6496.873447075752,5775.45271051029,721.4207365654632,18166.7479261673,10890.022346938193,0.04292744928754183,779.8521511349329
4013,19955.7370374723,19776.448883366622,179.28815410565463,74833.14545298275,17644.061729150846,0.49755153997350343,37233.346835296536
4014,6767.766862546732,6123.318384873371,644.4484776733582,24141.459173185962,16207.791288393502,0.048294555769112735,1165.9010476122526
4015,13915.38739096764,13171.001346749645,744.3860442179877,32541.763930878667,18309.193068356315,0.009746967151817498,317.1835044167793
1,6405.763703198657,6236.009705954199,169.75399724445805,14648.038482318369,6115.866934960521,0.14516673077927889,2126.4078612947396
2,9095.389205168052,8818.146307082632,277.2428980854148,30548.857130280066,18743.06866481684,0.08872342684654733,2710.3992938183164
3,16076.63564886868,15793.04720484466,283.58844402401024,32387.029988829738,6724.618172941602,0.29597577186647284,9585.77621302217
4,4521.291449332371,4131.2338176399935,390.05763169237537,12543.026734791214,6165.347315737062,0.14800159654572476,1856.3879844436701
5,18026.31438325406,17515.371430284675,510.94295296937173,48855.13390478697,15803.473897981854,0.3075489610096833,15025.345694104963
6,16751.910823110185,16050.708357079853,701.2024660303347,36034.44319415025,11404.955184773149,0.21861243088613008,7877.57723238287
7,19390.59950475941,18932.09298484439,458.5065199150144,36264.63987047755,14976.069093646547,0.05233669257753576,1897.9713103390181
8,8431.40986512139,7680.186505139184,751.2233599822068,49527.54272794873,18080.925014235472,0.46469512982988687,23015.20794111398
9,16013.351582989018,15737.825360351657,275.5262226373477,34680.73564708337,9592.53578018891,0.26166827632877404,9074.848330877187
10,3339.6756714503063,2660.4561257784517,679.2195456718525,16184.585681556047,8995.555748407565,0.23784076735862847,3849.354282933351
11,18315.15823963144,17943.9949795592,371.1632600722236,42163.727002545886,17464.781375221763,0.15140472353098544,6383.78743737917
12,14947.23162402623,14628.432350463858,318.79927356237033,26030.202381385636,8313.518848454281,0.10639379188675763,2769.4519380345114
1,10739.62345303427,10181.909809651208,557.7136433830598,19299.399453852133,5769.615256219965,0.1445724137981083,2790.16076715901
