simulation_number,Q_raw_inf,C1_surface_area,C1_height,Q_int,Q_was,Q_ext,inf_S_O2,inf_S_N2,inf_S_NH4,inf_S_NO3,inf_S_PO4,inf_S_F,inf_S_A,inf_S_I,inf_S_ALK,inf_X_I,inf_X_S,inf_X_H,inf_X_PAO,inf_X_PP,inf_X_PHA,inf_X_AUT,inf_X_MeOH,inf_X_MeP,inf_COD,inf_BOD,inf_TN,inf_TKN,inf_TP,inf_TSS,inf_VSS
2001,3868.521703999331,2269.9850775107407,4.219071937699106,3091.9002075468675,316.251332240284,18542.183571886348,7.636507129507071,9.655928147627046,18.459074544612417,118.73565552996683,145.06455900549506,1.6704680767577968,0.004855742900283932,200.00000018431382,0.18418557368596578,10488.359960892514,8.147264435402834,547.2690737103949,46.0053344552172,15.711804400120435,0.00312645653818953,45.41555950756134,0.04874027747789739,382.207325660227,11336.8756434616,367.8352690703565,394.04623165111366,275.3105761211468,357.0273912406474,8880.132261524737,7335.836300107208
2002,12735.934926599715,2814.296273985664,7.393465697504593,4423.035147917571,390.16964884383077,16187.601362229456,6.949921669879736,6.266863236990687,16.041842138813042,117.81185996213166,142.09185624285533,1.6852198184059866,0.005212526256725743,200.00000000225702,0.18566565349754274,7652.804362728363,16.44935110460174,1074.1875194099578,58.88514829203163,20.05183959054581,0.010176186780182915,83.19509639336637,0.03829719705935318,285.21049914268986,9087.222086462021,699.9436778059837,374.7570634809457,256.945203518814,321.75326467222857,7196.506353297969,5947.902194044771
2003,4694.110954902957,2326.7423823083805,9.657027986680852,11017.099810795029,51.07262108186215,13733.150837946127,7.888725330725513,5.655851266356761,20.971015359646234,121.10977195817078,145.47773579071756,2.5229176761723218,0.007533778577959915,199.99998923208182,0.12914856609935005,11203.611250629048,6.5827147400591866,450.1996638037214,43.22787087909809,14.82336218852181,0.002940221997639416,37.14389971276706,0.03579597692953682,406.2652362041342,11943.298780673524,306.2766388630771,405.63200875029736,284.5222367921266,366.47601663251976,9339.270131518218,7715.750990789509
2004,17087.837773066225,2643.9631457135556,2.168012501653509,12012.42250432415,524.2526695219576,7962.694659142486,7.299126561961,14.57788243693962,9.502539197527796,111.88042702969773,140.79459182712642,0.8861898699694427,0.003937433340807237,200.00000000081877,0.3518147399825121,4915.7145681756,15.007328199891266,975.5199933969518,41.42502945202861,13.88471228550725,0.014771017524103846,75.98442445539597,0.04732204814061532,185.70678313393873,6224.556242001521,628.6478128743879,298.8291977261468,186.9487706964491,263.9933208642402,4912.221142522363,4067.958490483878
2005,18249.879747634972,1787.0710751523352,7.281354978322183,1567.1161677064074,61.847167811889484,10766.067121304237,6.11623693652287,32.854488614417654,1.6148493527649215,101.373727368541,141.0372642939952,0.2701950429369815,0.001317080070554779,200.0000000002992,2.559166641433466,5081.190559227966,15.708586296405663,1014.4312510046741,38.82865781075096,13.055872155855955,0.0032303313961856237,85.71265528293047,0.2502024308160578,191.65985324023967,6436.146452077431,654.6941427380871,286.9769166958975,185.60318932735646,267.20623396672227,5081.768808227976,4212.281110246149
2006,8456.635773359296,2874.2341460564176,7.179520234199961,600.4395807010757,64.57517141181886,16730.744085760176,7.174644043828417,3.8336414939460632,19.126292097729493,120.32412497234284,143.24202173465306,2.9171181627556995,0.016788289824993845,199.99999885012585,0.12007556723922033,9377.479650723208,13.461193923307897,912.2426718351894,62.61975272701146,21.693185911734346,0.02087018015963723,71.79662471781066,0.028732253192292147,345.9093987051959,10640.554669409392,603.001355503699,402.89210482445355,282.56797985211074,350.8477689537693,8401.113168780696,6935.908212385987
2007,10298.764956040108,2618.9477369083534,6.326345684914972,963.2651117904436,628.5878403777834,6154.157411700595,7.262767091201578,4.126137370979752,17.714460362906483,119.37513184903023,142.3117514895629,2.879917305225339,0.005276572410832002,200.00000000000003,0.12273044102113533,6193.810058212232,11.198809846893873,770.7972509742461,49.79088515619648,16.608602201889457,0.002847014586004244,60.20961608960111,0.019645929705838724,230.03527282831521,7288.694661171392,507.66026551687054,325.15598594461693,205.7808540955867,285.8584632676659,5730.096493742541,4731.244089006287
2008,3648.4060976280325,2784.833155606135,8.444451812397794,3298.7852636899315,587.6224472112026,8716.893532137627,6.982488297678853,3.7038576978802813,20.661493854200792,121.34297834939817,144.23584495357437,3.004586300910399,0.010148662966127275,199.99986824774263,0.11709191551845388,4949.148254246606,4.684386300319817,323.0613814454127,28.38072653402803,9.793266527036176,0.0019006369643646123,26.244846457241884,0.014478867297217146,181.09899213563008,5534.536098832192,218.89188226131694,269.70303582261636,148.36005747321823,248.34424926119507,4267.9921068615,3521.944497985217
2009,3421.3067090991726,1374.4887739471876,2.2718717404036695,2241.356036142066,225.1769893986367,1610.7151904526631,7.905776214324522,7.364744945628595,18.384708140842907,119.25837930436984,143.78184345616924,3.1267484724588543,0.0021278450750363688,199.99999999999557,0.11568597472188973,5828.125661530569,6.222876542989196,429.7933521311793,38.12866816943286,13.002041387476925,0.00043013267322600235,35.77980932856515,0.016995331009154388,213.74099176608115,6541.179674152938,291.2701737845007,291.80744626575984,172.54906696139,269.12951911990933,5084.784838357153,4194.124516038583
2010,4280.722691095198,2767.6311408562774,9.39930158925992,12200.259202681224,116.79243276973246,12153.426637016828,7.906870264556667,27.46240111649994,10.303687597149045,110.32946775036314,145.75565324686752,2.319223479247213,0.007844343248224852,199.99999845387447,0.1353185779355861,11712.848461376223,6.110421568394963,415.9510109298549,40.161794402563196,13.544205731297863,0.0028856701945402965,37.82135758185569,0.03911791352169443,423.08052955413893,12415.222997805457,285.0967332964363,391.77950953068773,281.4500417803246,373.2810686789336,9700.56338560519,8018.30607793791
